blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime
1,1,2,3,2,8.666666667,3,0.666666667,13
1,2,2,3,2,21.43333333,3,0.433333333,26
1,3,2,1,2,34.45,1,0.45,39
1,4,22,3,0,47.96666667,0,0.966666667,50
1,5,28,3,0,58.81666667,0,0.816666667,61
1,6,40,1,0,69.53333333,0,0.533333333,72
1,7,2,1,2,80.4,1,0.4,85
1,8,28,1,0,93.86666667,0,0.866666667,96
1,9,2,3,2,104.5666667,3,0.566666667,109
1,10,2,3,2,117.45,3,0.45,122
1,11,2,1,2,130.4333333,1,0.433333333,135
1,12,40,1,0,143.7666667,0,0.766666667,146
1,13,2,3,2,154.4333333,3,0.433333333,159
1,14,22,1,22,167.9,1,0.9,192
1,15,22,1,0,200.7833333,0,0.783333333,203
1,16,2,1,2,211.3833333,1,0.383333333,216
1,17,40,3,0,224.7666667,0,0.766666667,227
1,18,2,1,2,235.5666667,1,0.566666667,240
1,19,28,3,0,248.4166667,0,0.416666667,251
1,20,2,1,2,259.4166667,1,0.416666667,264
1,21,2,3,2,272.55,3,0.55,277
1,22,22,3,0,285.6666667,0,0.666666667,288
1,23,2,1,2,296.4,1,0.4,301
1,24,2,1,2,309.4333333,1,0.433333333,314
1,25,2,3,2,322.85,3,0.85,327
1,26,2,3,2,335.4666667,3,0.466666667,340
1,27,28,1,0,348.9,0,0.9,351
1,28,40,3,0,359.5833333,0,0.583333333,362
1,29,28,3,0,370.4833333,0,0.483333333,373
1,30,2,3,2,381.6833333,3,0.683333333,386
1,31,22,1,0,394.65,0,0.65,397
1,32,2,3,2,405.55,3,0.55,410
1,33,2,1,2,418.6,1,0.6,423
1,34,40,1,0,431.9166667,0,0.916666667,434
1,35,2,1,2,442.5833333,1,0.583333333,447
1,36,2,3,2,455.6,3,0.6,460
1,37,22,3,0,468.7,0,0.7,471
1,38,2,3,2,479.35,3,0.35,484
1,39,2,1,2,492.4166667,1,0.416666667,497
1,40,2,1,2,505.4833333,1,0.483333333,510
1,41,40,1,0,518.75,0,0.75,521
1,42,28,3,0,529.4666667,0,0.466666667,532
1,43,2,1,2,540.4,1,0.4,545
1,44,2,1,2,553.7333333,1,0.733333333,558
1,45,40,3,0,566.7666667,0,0.766666667,569
1,46,22,3,0,577.4833333,0,0.483333333,580
1,47,28,1,0,588.5333333,0,0.533333333,591
1,48,2,3,2,599.4,3,0.4,604
1,49,2,3,2,612.5,3,0.5,617
1,50,28,1,0,625.5333333,0,0.533333333,628
1,51,2,3,2,636.4166667,3,0.416666667,641
1,52,2,1,2,649.35,1,0.35,654
1,53,2,1,2,662.5833333,1,0.583333333,667
1,54,22,1,0,675.5333333,0,0.533333333,678
1,55,40,3,0,686.4666667,0,0.466666667,689
1,56,2,3,2,697.5166667,3,0.516666667,702
1,57,2,3,2,710.4833333,3,0.483333333,715
1,58,22,3,0,723.4833333,0,0.483333333,726
1,59,2,3,2,734.4166667,3,0.416666667,739
1,60,28,1,0,747.5666667,0,0.566666667,750
1,61,2,1,2,758.3666667,1,0.366666667,763
1,62,40,1,0,771.7833333,0,0.783333333,774
1,63,2,3,2,782.5,3,0.5,787
1,64,22,3,0,795.6333333,0,0.633333333,798
1,65,28,1,0,806.5666667,0,0.566666667,809
1,66,2,1,2,817.5,1,0.5,822
1,67,2,3,2,830.5666667,3,0.566666667,835
1,68,2,3,2,843.4666667,3,0.466666667,848
1,69,40,1,0,856.5833333,0,0.583333333,859
1,70,2,1,2,867.3833333,1,0.383333333,872
1,71,2,1,2,880.3833333,1,0.383333333,885
1,72,2,3,2,893.45,3,0.45,898
1,73,40,3,0,906.8666667,0,0.866666667,909
1,74,2,3,2,917.7,3,0.7,922
1,75,2,1,2,930.5833333,1,0.583333333,935
1,76,28,3,0,943.6166667,0,0.616666667,946
1,77,22,3,0,954.4666667,0,0.466666667,957
1,78,2,1,2,965.3833333,1,0.383333333,970
1,79,2,1,2,978.4333333,1,0.433333333,983
1,80,2,3,2,991.4333333,3,0.433333333,996
1,81,28,1,0,1004.566667,0,0.566666667,1007
1,82,22,3,0,1015.666667,0,0.666666667,1018
1,83,40,1,0,1026.55,0,0.55,1029
1,84,2,1,2,1037.5,1,0.5,1042
1,85,2,1,2,1050.416667,1,0.416666667,1055
1,86,40,1,0,1063.666667,0,0.666666667,1066
1,87,28,3,0,1074.466667,0,0.466666667,1077
1,88,2,1,2,1085.4,1,0.4,1090
1,89,2,3,2,1098.583333,3,0.583333333,1103
1,90,2,3,2,1111.516667,3,0.516666667,1116
1,91,22,1,0,1124.75,0,0.75,1127
1,92,22,3,0,1135.616667,0,0.616666667,1138
1,93,2,3,2,1146.75,3,0.75,1151
1,94,2,3,2,1159.466667,3,0.466666667,1164
1,95,2,1,2,1172.45,1,0.45,1177
